group4,set,subtype,n,total,pct
L_V1,All_ILC,ILC1_like,7,969,0.7223942208462333
L_V1,All_ILC,ILC2_like,749,969,77.29618163054695
L_V1,All_ILC,ILC3_like,9,969,0.9287925696594427
L_V1,All_ILC,other_or_mixed_ILC,204,969,21.05263157894737
L_V1,DP_ILC,ILC2_like,13,13,100
L_V1,PDL1pos_ILC,ILC1_like,2,119,1.680672268907563
L_V1,PDL1pos_ILC,ILC2_like,114,119,95.7983193277311
L_V1,PDL1pos_ILC,other_or_mixed_ILC,3,119,2.5210084033613445
L_V2,All_ILC,ILC1_like,2,777,0.2574002574002574
L_V2,All_ILC,ILC2_like,629,777,80.95238095238095
L_V2,All_ILC,ILC3_like,5,777,0.6435006435006435
L_V2,All_ILC,other_or_mixed_ILC,141,777,18.146718146718147
L_V2,DP_ILC,ILC2_like,1,1,100
L_V2,PDL1pos_ILC,ILC1_like,1,50,2
L_V2,PDL1pos_ILC,ILC2_like,48,50,96
L_V2,PDL1pos_ILC,other_or_mixed_ILC,1,50,2
L_V3,All_ILC,ILC1_like,19,3763,0.5049162901939942
L_V3,All_ILC,ILC2_like,3120,3763,82.91256975817167
L_V3,All_ILC,ILC3_like,39,3763,1.0364071219771458
L_V3,All_ILC,other_or_mixed_ILC,585,3763,15.54610682965719
L_V3,DP_ILC,ILC2_like,19,20,95
L_V3,DP_ILC,other_or_mixed_ILC,1,20,5
L_V3,PDL1pos_ILC,ILC2_like,81,92,88.04347826086956
L_V3,PDL1pos_ILC,other_or_mixed_ILC,11,92,11.956521739130435
NL_V1,All_ILC,ILC1_like,36,12094,0.2976682652554986
NL_V1,All_ILC,ILC2_like,9567,12094,79.10534149164876
NL_V1,All_ILC,ILC3_like,627,12094,5.184388953199933
NL_V1,All_ILC,other_or_mixed_ILC,1864,12094,15.412601289895816
NL_V1,DP_ILC,ILC2_like,28,28,100
NL_V1,PDL1pos_ILC,ILC1_like,3,195,1.5384615384615385
NL_V1,PDL1pos_ILC,ILC2_like,171,195,87.6923076923077
NL_V1,PDL1pos_ILC,ILC3_like,2,195,1.0256410256410255
NL_V1,PDL1pos_ILC,other_or_mixed_ILC,19,195,9.743589743589743
