sample_id,group4,set,subtype,n,total,pct
P1_V1_L,L_V1,All_ILC,ILC2_like,16,19,84.21052631578948
P1_V1_L,L_V1,All_ILC,other_or_mixed_ILC,3,19,15.789473684210526
P1_V1_NL,NL_V1,All_ILC,ILC1_like,6,3026,0.1982815598149372
P1_V1_NL,NL_V1,All_ILC,ILC2_like,2570,3026,84.93060145406477
P1_V1_NL,NL_V1,All_ILC,ILC3_like,237,3026,7.8321216126900195
P1_V1_NL,NL_V1,All_ILC,other_or_mixed_ILC,213,3026,7.038995373430271
P1_V1_NL,NL_V1,PDL1pos_ILC,ILC1_like,2,23,8.695652173913043
P1_V1_NL,NL_V1,PDL1pos_ILC,ILC2_like,17,23,73.91304347826087
P1_V1_NL,NL_V1,PDL1pos_ILC,ILC3_like,2,23,8.695652173913043
P1_V1_NL,NL_V1,PDL1pos_ILC,other_or_mixed_ILC,2,23,8.695652173913043
P1_V2_L,L_V2,All_ILC,ILC2_like,96,129,74.4186046511628
P1_V2_L,L_V2,All_ILC,ILC3_like,1,129,0.7751937984496124
P1_V2_L,L_V2,All_ILC,other_or_mixed_ILC,32,129,24.8062015503876
P1_V2_L,L_V2,PDL1pos_ILC,ILC2_like,8,8,100
P1_V3_L,L_V3,All_ILC,ILC1_like,12,1390,0.8633093525179856
P1_V3_L,L_V3,All_ILC,ILC2_like,1019,1390,73.30935251798562
P1_V3_L,L_V3,All_ILC,ILC3_like,26,1390,1.870503597122302
P1_V3_L,L_V3,All_ILC,other_or_mixed_ILC,333,1390,23.9568345323741
P1_V3_L,L_V3,DP_ILC,ILC2_like,4,5,80
P1_V3_L,L_V3,DP_ILC,other_or_mixed_ILC,1,5,20
P1_V3_L,L_V3,PDL1pos_ILC,ILC2_like,15,20,75
P1_V3_L,L_V3,PDL1pos_ILC,other_or_mixed_ILC,5,20,25
P2_V1_L,L_V1,All_ILC,ILC1_like,3,364,0.8241758241758241
P2_V1_L,L_V1,All_ILC,ILC2_like,271,364,74.45054945054945
P2_V1_L,L_V1,All_ILC,ILC3_like,6,364,1.6483516483516483
P2_V1_L,L_V1,All_ILC,other_or_mixed_ILC,84,364,23.076923076923077
P2_V1_L,L_V1,DP_ILC,ILC2_like,8,8,100
P2_V1_L,L_V1,PDL1pos_ILC,ILC1_like,1,46,2.1739130434782608
P2_V1_L,L_V1,PDL1pos_ILC,ILC2_like,45,46,97.82608695652173
P2_V1_NL,NL_V1,All_ILC,ILC1_like,11,1376,0.7994186046511628
P2_V1_NL,NL_V1,All_ILC,ILC2_like,799,1376,58.06686046511628
P2_V1_NL,NL_V1,All_ILC,ILC3_like,34,1376,2.4709302325581395
P2_V1_NL,NL_V1,All_ILC,other_or_mixed_ILC,532,1376,38.66279069767442
P2_V1_NL,NL_V1,DP_ILC,ILC2_like,8,8,100
P2_V1_NL,NL_V1,PDL1pos_ILC,ILC2_like,36,45,80
P2_V1_NL,NL_V1,PDL1pos_ILC,other_or_mixed_ILC,9,45,20
P2_V2_L,L_V2,All_ILC,ILC2_like,95,135,70.37037037037037
P2_V2_L,L_V2,All_ILC,ILC3_like,2,135,1.4814814814814814
P2_V2_L,L_V2,All_ILC,other_or_mixed_ILC,38,135,28.14814814814815
P2_V2_L,L_V2,DP_ILC,ILC2_like,1,1,100
P2_V2_L,L_V2,PDL1pos_ILC,ILC2_like,16,17,94.11764705882354
P2_V2_L,L_V2,PDL1pos_ILC,other_or_mixed_ILC,1,17,5.882352941176471
P2_V3_L,L_V3,All_ILC,ILC1_like,1,235,0.425531914893617
P2_V3_L,L_V3,All_ILC,ILC2_like,152,235,64.68085106382979
P2_V3_L,L_V3,All_ILC,ILC3_like,3,235,1.2765957446808511
P2_V3_L,L_V3,All_ILC,other_or_mixed_ILC,79,235,33.61702127659574
P2_V3_L,L_V3,DP_ILC,ILC2_like,2,2,100
P2_V3_L,L_V3,PDL1pos_ILC,ILC2_like,19,20,95
P2_V3_L,L_V3,PDL1pos_ILC,other_or_mixed_ILC,1,20,5
P3_V1_L,L_V1,All_ILC,ILC1_like,4,367,1.0899182561307903
P3_V1_L,L_V1,All_ILC,ILC2_like,263,367,71.66212534059946
P3_V1_L,L_V1,All_ILC,ILC3_like,3,367,0.8174386920980926
P3_V1_L,L_V1,All_ILC,other_or_mixed_ILC,97,367,26.430517711171664
P3_V1_L,L_V1,DP_ILC,ILC2_like,4,4,100
P3_V1_L,L_V1,PDL1pos_ILC,ILC1_like,1,45,2.2222222222222223
P3_V1_L,L_V1,PDL1pos_ILC,ILC2_like,43,45,95.55555555555556
P3_V1_L,L_V1,PDL1pos_ILC,other_or_mixed_ILC,1,45,2.2222222222222223
P3_V1_NL,NL_V1,All_ILC,ILC1_like,7,991,0.7063572149344097
P3_V1_NL,NL_V1,All_ILC,ILC2_like,554,991,55.90312815338042
P3_V1_NL,NL_V1,All_ILC,ILC3_like,17,991,1.715438950554995
P3_V1_NL,NL_V1,All_ILC,other_or_mixed_ILC,413,991,41.675075681130174
P3_V1_NL,NL_V1,DP_ILC,ILC2_like,3,3,100
P3_V1_NL,NL_V1,PDL1pos_ILC,ILC2_like,15,17,88.23529411764706
P3_V1_NL,NL_V1,PDL1pos_ILC,other_or_mixed_ILC,2,17,11.764705882352942
P3_V2_L,L_V2,All_ILC,ILC2_like,114,137,83.21167883211679
P3_V2_L,L_V2,All_ILC,ILC3_like,1,137,0.7299270072992701
P3_V2_L,L_V2,All_ILC,other_or_mixed_ILC,22,137,16.05839416058394
P3_V2_L,L_V2,PDL1pos_ILC,ILC1_like,1,10,10
P3_V2_L,L_V2,PDL1pos_ILC,ILC2_like,9,10,90
P3_V3_L,L_V3,All_ILC,ILC1_like,2,397,0.5037783375314862
P3_V3_L,L_V3,All_ILC,ILC2_like,343,397,86.39798488664988
P3_V3_L,L_V3,All_ILC,other_or_mixed_ILC,52,397,13.09823677581864
P3_V3_L,L_V3,DP_ILC,ILC2_like,11,11,100
P3_V3_L,L_V3,PDL1pos_ILC,ILC2_like,15,18,83.33333333333333
P3_V3_L,L_V3,PDL1pos_ILC,other_or_mixed_ILC,3,18,16.666666666666668
P4_V1_L,L_V1,All_ILC,ILC2_like,68,77,88.31168831168831
P4_V1_L,L_V1,All_ILC,other_or_mixed_ILC,9,77,11.688311688311689
P4_V1_L,L_V1,PDL1pos_ILC,ILC2_like,2,3,66.66666666666667
P4_V1_L,L_V1,PDL1pos_ILC,other_or_mixed_ILC,1,3,33.333333333333336
P4_V1_NL,NL_V1,All_ILC,ILC1_like,8,3000,0.26666666666666666
P4_V1_NL,NL_V1,All_ILC,ILC2_like,2503,3000,83.43333333333334
P4_V1_NL,NL_V1,All_ILC,ILC3_like,228,3000,7.6
P4_V1_NL,NL_V1,All_ILC,other_or_mixed_ILC,261,3000,8.7
P4_V1_NL,NL_V1,DP_ILC,ILC2_like,10,10,100
P4_V1_NL,NL_V1,PDL1pos_ILC,ILC1_like,1,78,1.2820512820512822
P4_V1_NL,NL_V1,PDL1pos_ILC,ILC2_like,74,78,94.87179487179488
P4_V1_NL,NL_V1,PDL1pos_ILC,other_or_mixed_ILC,3,78,3.8461538461538463
P4_V2_L,L_V2,All_ILC,ILC1_like,2,125,1.6
P4_V2_L,L_V2,All_ILC,ILC2_like,101,125,80.8
P4_V2_L,L_V2,All_ILC,ILC3_like,1,125,0.8
P4_V2_L,L_V2,All_ILC,other_or_mixed_ILC,21,125,16.8
P4_V2_L,L_V2,PDL1pos_ILC,ILC2_like,5,5,100
P4_V3_L,L_V3,All_ILC,ILC1_like,1,166,0.6024096385542169
P4_V3_L,L_V3,All_ILC,ILC2_like,129,166,77.71084337349397
P4_V3_L,L_V3,All_ILC,other_or_mixed_ILC,36,166,21.686746987951807
P4_V3_L,L_V3,DP_ILC,ILC2_like,2,2,100
P4_V3_L,L_V3,PDL1pos_ILC,ILC2_like,20,22,90.9090909090909
P4_V3_L,L_V3,PDL1pos_ILC,other_or_mixed_ILC,2,22,9.090909090909092
P5_V1_L,L_V1,All_ILC,ILC2_like,131,142,92.25352112676056
P5_V1_L,L_V1,All_ILC,other_or_mixed_ILC,11,142,7.746478873239437
P5_V1_L,L_V1,DP_ILC,ILC2_like,1,1,100
P5_V1_L,L_V1,PDL1pos_ILC,ILC2_like,24,25,96
P5_V1_L,L_V1,PDL1pos_ILC,other_or_mixed_ILC,1,25,4
P5_V1_NL,NL_V1,All_ILC,ILC1_like,4,3701,0.10807889759524453
P5_V1_NL,NL_V1,All_ILC,ILC2_like,3141,3701,84.86895433666577
P5_V1_NL,NL_V1,All_ILC,ILC3_like,111,3701,2.9991894082680357
